spot	nb_rgp	nb_families	nb_unique_family_sets	mean_nb_genes	stdev_nb_genes	max_nb_genes	min_nb_genes
spot_2	26	39	21	11.269	4.504	19	5
spot_18	26	26	13	11.077	3.969	18	5
spot_10	25	86	20	12.08	4.153	21	7
spot_21	24	56	10	25.125	8.425	43	13
spot_16	23	11	7	6.652	0.832	8	6
spot_19	22	16	5	7.045	3.0	11	4
spot_6	22	16	2	10.864	1.356	12	5
spot_5	22	35	11	10.273	4.852	23	7
spot_9	19	9	4	6.421	0.838	8	4
spot_40	19	8	1	8.053	0.229	9	8
spot_29	19	10	5	4.684	1.108	8	4
spot_8	19	8	2	6.474	0.905	9	6
spot_12	19	12	2	10.842	3.184	15	5
spot_7	16	9	4	8.562	1.365	10	7
spot_11	16	32	8	14.062	3.82	18	8
spot_13	16	27	9	9.938	3.395	19	6
spot_33	15	12	6	8.533	1.552	12	6
spot_22	15	18	6	7.267	2.282	13	6
spot_28	12	10	4	6.75	0.452	7	6
spot_23	12	25	5	9.75	2.094	13	6
spot_45	12	9	2	7.5	1.567	9	6
spot_46	11	15	9	8.091	1.221	11	7
spot_36	11	7	2	5.455	0.82	7	5
spot_51	11	22	5	10	1.342	13	9
spot_20	10	6	4	4.7	0.823	6	4
spot_31	10	8	1	8.1	0.316	9	8
spot_25	9	10	5	6	1.323	8	4
spot_50	9	6	1	6.111	0.333	7	6
spot_3	9	10	6	5.444	0.527	6	5
spot_15	9	6	1	7	0.0	7	7
spot_4	9	34	8	12.444	6.464	20	4
spot_49	8	24	8	10.75	1.282	13	9
spot_38	8	20	8	6.875	2.532	12	4
spot_53	8	13	6	8.125	1.642	11	6
spot_14	8	24	8	17.5	3.964	21	8
spot_32	6	78	4	22.833	26.095	58	6
spot_43	6	19	4	6.833	2.639	12	5
spot_1	6	4	1	4	0.0	4	4
spot_48	5	110	5	76.8	12.795	86	55
spot_39	5	8	1	8	0.0	8	8
spot_17	5	29	4	10.8	7.05	23	6
spot_34	4	9	3	8.75	1.893	10	6
spot_44	4	32	4	25.25	4.992	32	20
spot_63	4	8	2	6.5	1.0	8	6
spot_60	4	18	4	8.5	0.577	9	8
spot_26	3	28	3	26.333	0.577	27	26
spot_72	3	12	1	12	0.0	12	12
spot_57	3	8	1	8.333	0.577	9	8
spot_54	3	6	2	4.667	1.155	6	4
spot_42	3	19	3	9.667	2.887	13	8
spot_59	3	37	2	26	3.464	28	22
spot_47	3	14	2	6.667	2.887	10	5
spot_85	2	11	1	11	0.0	11	11
spot_41	2	8	1	8	0.0	8	8
spot_37	2	5	1	7.5	0.707	8	7
spot_24	2	4	1	4	0.0	4	4
spot_35	2	19	2	23	12.728	32	14
spot_52	2	10	2	6.5	0.707	7	6
spot_30	2	70	2	35	38.184	62	8
spot_61	2	8	1	8.5	0.707	9	8
spot_76	2	13	1	14	0.0	14	14
spot_64	2	8	1	8	0.0	8	8
spot_79	2	19	2	18.5	0.707	19	18
spot_83	1	12	1	12	0	12	12
spot_86	1	85	1	85	0	85	85
spot_27	1	14	1	15	0	15	15
spot_68	1	85	1	86	0	86	86
spot_87	1	18	1	18	0	18	18
spot_67	1	3	1	4	0	4	4
spot_0	1	9	1	9	0	9	9
spot_58	1	3	1	4	0	4	4
spot_71	1	7	1	8	0	8	8
spot_55	1	5	1	6	0	6	6
spot_70	1	3	1	5	0	5	5
spot_56	1	70	1	71	0	71	71
spot_69	1	11	1	12	0	12	12
spot_73	1	5	1	5	0	5	5
spot_74	1	4	1	4	0	4	4
spot_75	1	13	1	13	0	13	13
spot_66	1	3	1	4	0	4	4
spot_77	1	12	1	12	0	12	12
spot_78	1	18	1	19	0	19	19
spot_65	1	75	1	75	0	75	75
spot_80	1	6	1	6	0	6	6
spot_62	1	3	1	4	0	4	4
spot_81	1	6	1	6	0	6	6
spot_82	1	6	1	6	0	6	6
spot_84	1	5	1	6	0	6	6
